title,link,author,wordNum,read,discription
先婚后爱：权少的迷糊小老婆,https://www.biquker.com/xiaoshuo/7227.html,好吃的菜包,990000字,3,《先婚后爱：权少的迷糊小老婆》是由作者好吃的菜包编写的一部言情小说，目前已完结，主角是苏烟、沈祐，小说的故事主要讲述了苏烟怎么也想不到交往了四年的男朋友会为了前途而选择另一个世家女，既然这样，那她选择放手。可是对方却不依不饶，几次出现在她面前秀恩爱！她忍让，对方却越发嚣张。苏烟：“我已经有男朋友了。”谁知她在马路上随便找的男人竟然这么优质，而且还全力配合她。她感动的想以身相许，结果人家说，他需要一个能洗衣做到拖地的人。苏烟傻兮兮的被带回家，发现自己的老公是一个经常出任务的军人，而且她什么都不用做，只要被宠
一胎二宝来报到,https://www.biquker.com/xiaoshuo/7224.html,风中草莓,1124000字,3,《一胎二宝来报到》是由作者风中草莓编写的一部言情小说，目前已完结，主角是童瞳、曲一鸿，小说的故事主要讲述了  “受孕三周。你体质特殊，建议生下宝宝……”童瞳前脚跨进大学校门，后脚便开启未婚妈妈的彪悍人生。某日，她被某嚣张大总裁截住：“你偷我的种？”“偷了又怎样，难不成你想赖上我？”她磨刀霍霍地呛回去。“别紧张。”他挑眉，“许你再偷一次！”
农门厨娘：相公在下，我在上,https://www.biquker.com/xiaoshuo/7197.html,沐妃妃,794000字,3,《农门厨娘：相公在下，我在上》是由作者沐妃妃编写的一部穿越种田小说，目前已完结，主角是宋小、刘闫，小说的故事主要讲述了宋小，吃个饺子倒霉的穿越，穿越怕什么，她穿越小说看多了，什么富家小姐，什么官家不受宠的庶出小姐，没关系，都没关系，至少还是小姐，家境富裕，吃穿不愁。但是，谁来告诉她，为何人与人之间差距那么大？在梦中巡游许久，睁开眼睛的那一刻，她觉得自己的世界已经崩塌，家徒四壁……穷困潦倒……绳床瓦灶，她见过穷的，但是这么穷的，和乞丐相对，她就多了这一间勉强耸立的破烂瓦房。上有渣爹和兄长，一贫如洗的家境，渣
穿成众大佬的心尖宠,https://www.biquker.com/xiaoshuo/7196.html,殊歌,3354000字,3,《穿成众大佬的心尖宠》是由作者殊歌编写的一部穿越小说，目前已完结，小说的故事主要讲述了说好的软萌小奶狗、温柔帅学长呢？结果出现的都是腹黑总裁、冷血神医、阴诡仙尊……就没有一个软萌温柔系列的！这是一部轻爽文，时不时还有可爱的小奶包出现，助攻女主角拿下男主！
剑王朝,https://www.biquker.com/xiaoshuo/7193.html,无罪,1818000字,3,《剑王朝》是由作者无罪编写的一部历史玄幻小说，目前已完结，主角是丁宁（梁惊梦）、长孙浅雪（公孙浅雪），小说的故事主要讲述了自连灭韩、赵、魏三大王朝，大秦王朝已经迎来前所未有之盛世，强大的修行者层出不穷，人人都以身为秦人而荣，但丁宁，一个出身毫无疑问的秦国都长陵普通的市井少年，每天所想的，却是颠覆大秦王朝，杀死修行已至前所未有的第八境的秦皇帝。
重案重启,https://www.biquker.com/xiaoshuo/7186.html,无怨,1372000字,3,《重案重启》是由作者无怨编写的一部都市悬疑小说，目前已完结，主角是李楠、陈冷霜，小说的故事主要讲述了详解近二十年间警方定性的数起重案、特案，被一一平反的真实内幕！天网恢恢疏而不漏，不是不报，时候未到。天网在追击，案犯无处逃！缉凶组，讲述一名普通办案民警侦办冤假错案的全过程，下面就让我带你们走进真实的罪案现场，感受那一幕幕凶残案件背后的不为人知！
我的姥姥是半仙,https://www.biquker.com/xiaoshuo/7185.html,三楼均均,1270000字,3,《我的姥姥是半仙》是由作者三楼均均编写的一部灵异小说，目前已完结，主角是王丹阳，小说的故事主要讲述了我叫王丹阳，是一个八字很阴的女生。我的姥姥是个半仙，阴阳两路，求请问事，样样明白。因为算出我十六岁之前会有劫难，所以，我就留在了姥姥的身边长大。从此，我经历着一般孩子一辈子也许都经历不了的事情......
极品炼丹师,https://www.biquker.com/xiaoshuo/7184.html,梦无限,674000字,3,《极品炼丹师》是由作者梦无限编写的一部玄幻小说，目前已完结，主角是千静（千轻轻），小说的故事主要讲述了前世的千轻轻一心只知修炼，从未体会过父母之情，男女之爱，修为虽高，心境却不圆满，在渡仙劫时失败，一缕残魂意外进入一名刚刚离世的废物身上获得重生。 这一世化身千静，从头来过，带着强大功法成为出色的炼丹师，炼器师以及修炼天才。 从不能修炼的废物，到名震天下，身后追随者无数。 且看千静如何红尘历练，执剑天下，寻求真爱，共结仙缘。
快穿系统：反派男神攻略计,https://www.biquker.com/xiaoshuo/7183.html,云三三,1480000字,4,《快穿系统：反派男神攻略计》是由作者云三三编写的一部小说，目前正在连载当中，主角是，小说的故事主要讲述了  【快穿1V1，日更不断】不撩渣男推BOSS，谈情虐渣两不误。且看一出反派男神攻略三十六计！手刃渣男贱女后，云倾等着下十八层地狱！不料，却迎来了个强制绑定的原配逆袭系统，从此开启了坑爹的任务之路。云倾：“逆袭小三正三观？”系统：“不！最重要的是，抢回前任夺气运！”云倾表示，渣男，一边去。系统：“宿主反抗任务，气运值-100000！”云倾：“不就恋爱攻略么，一定要前任渣男？”某反派boss轻笑一声：“你
透视龙魂在都市,https://www.biquker.com/xiaoshuo/7181.html,世代杀猪,2444000字,3,《透视龙魂在都市》是由作者世代杀猪编写的一部都市小说，目前已完结，主角是陈禹、苏若萱，小说的故事主要讲述了眼睛里钻进去一条龙，陈禹牛逼起来了！能透视，会修仙，懂治病，琴棋书画无所不能，一段都市的传奇从此开始！蓦然回首，陈禹看着身边形形色色的美女，喃喃道：“其实，我不想泡妞！”
神品大仙民,https://www.biquker.com/xiaoshuo/7179.html,虾兵蟹将,1444000字,4,《神品大仙民》是由作者虾兵蟹将编写的一部奇幻小说，目前已完结，主角是林汉生、裴雯，小说的故事主要讲述了被雷劈，有奇迹。农村男青年自打被雷劈离异后，各种神奇的事件发生了……
真武医圣,https://www.biquker.com/xiaoshuo/7174.html,唐百虎,2020000字,4,《真武医圣》是由作者唐百虎编写的一部都市小说，目前已完结，主角是秦枫、李涵，小说的故事主要讲述了实习医生秦枫因得罪了地痞无赖被打伤了脑袋，血浸胸前玉貔貅，因祸得福得到医圣传承，自此银针渡人，嚣张跋扈，成就济世仁心！
下堂夫人之凤逑凰,https://www.biquker.com/xiaoshuo/7171.html,云之苑,1418000字,2,《下堂夫人之凤逑凰》是由作者云之苑编写的一部古代言情小说，目前已完结，主角是御天容、裴若晨，小说的故事主要讲述了她一双巧手能画出惟妙惟肖的万物……在疼痛中醒来，却发现她不仅穿了，十指还被废了！落魄为一个下堂夫人，还是被夫君的男宠糟蹋过的残花败柳？附加一个被人称“野种”的小正太是她儿子？好吧，没关系，宝贝，妈咪给你找几个绝世好爹照顾你！冷酷！很好，对我热情如火就OK了；腹黑？没关系，疼我们母子就行了；你是妖孽？嗯，也没关系，为我妖孽就行了……看她这个下堂妇怎么活得风生水起，还坐拥美男傲视群草！可是，为啥，最
极品辣妈好v5,https://www.biquker.com/xiaoshuo/7169.html,齐成琨,2142000字,5,《极品辣妈好v5》是由作者齐成琨编写的一部都市小说，目前已完结，主角是慕潇潇、玖岚银、轩辕烈，小说的故事主要讲述了她是杀手雇佣中心的顶级杀手，谁知被小阿姨一碗迷药就送上了黑夜帝国老大的床。还怀上了宝宝。当她想要追问小阿姨孩子的父亲是谁时，小阿姨脚底抹油跑了……六年后，她带着五岁宝宝四处寻找小阿姨，却意外卷进黑道纠纷。宝宝阴差阳错的被黑夜帝国的人抓走。无奈之下，她只有女扮男装假装成司机潜伏入黑夜帝国老大身边做卧底……
我的极品老婆,https://www.biquker.com/xiaoshuo/7144.html,小二,4092000字,3,《我的极品老婆》是由作者小二编写的一部都市小说，目前已完结，主角是方志强、王亚欣，小说的故事主要讲述了一个小小的快递员，身负巨债，却在这个纸醉金迷的都市里坚持着自己内心最初的那份执着和底线。他抛的开物质的欲望，却斩不断感情的千丝万缕。最终在红颜的情愫中苦苦挣扎……
掀翻时代的男人,https://www.biquker.com/xiaoshuo/7143.html,为情成痴,1416000字,2,《掀翻时代的男人》是由作者为情成痴编写的一部科幻小说，目前已完结，主角是苏扬，小说的故事主要讲述了带着个系统穿越到科技树长歪的平行世界。苏扬觉得自己不能像姐姐一样混吃等死，于是，他开始奋斗。搞外卖，做游戏，改写IT行业，调（和）教（谐）娱乐圈，问鼎福布斯榜……赚钱装X两不误。姐姐：“阿扬，你那么优秀干什么？说好的一起当咸鱼呢，你个骗子！”
神级采集术,https://www.biquker.com/xiaoshuo/7142.html,常世,976000字,4,《神级采集术》是由作者常世编写的一部科幻小说，目前已完结，主角是云锦，小说的故事主要讲述了这里有倒立就会下雨的娃娃，有召唤异世界食材做饭的厨师，有射中一次就会恋爱的狙击枪，还有可以把人变成丧尸的微信群聊。而主角的能力是：采集这些能力！
神脉至尊,https://www.biquker.com/xiaoshuo/7140.html,花落唯窈,3460000字,21,《神脉至尊》是由作者花落唯窈编写的一部玄幻小说，目前已完结，主角是南风，小说的故事主要讲述了落魄少爷南风，获得开天之神传承，觉醒惊世灵脉，习得无上铸器之术。从此，他走上修炼大道，脚踏绝世天才，身坐无敌神兽。各族老怪物，为求他铸一器，甘愿做他小弟。各族美女，魔女，圣女，同样为求他铸一器，都愿委身与他。但是，南风不满意，因为天才强者无数，他就要无数强者尊他为神，天下美女无数，他就要收尽天才美女，天下神器无数，他就要铸造出无数比神器更强的祖器……总之，他南风就是这么霸道。
邪魅校草的极致奢宠：丫头吻我！,https://www.biquker.com/xiaoshuo/7139.html,白金金,1010000字,3,《邪魅校草的极致奢宠：丫头吻我！》是由作者白金金编写的一部言情小说，目前已完结，主角是秦玖玥、裴俊爵、凉亦白、柏廷铭，小说的故事主要讲述了俏皮漂亮的秦玖玥在某天得罪了全校第一恶魔校草裴俊爵，而温柔的校草凉亦白则默默保护她，阳光灿烂的校草柏廷铭悉心照顾着她，于是开始了她不平凡的学习生活……
新婚夜下温情,https://www.biquker.com/xiaoshuo/7136.html,月下魂销,284000字,2,《新婚夜下温情》是由作者月下魂销编写的一部小说，目前正在连载当中，主角是，小说的故事主要讲述了遭哥哥陷害，她被送上陌生男人的床。一夜，她失了身，爸爸意外坠楼，妈妈心脏病发……她失去所有。几近走投无路时，他犹如天神一般降临在她的面前。他说：“我需要一个听话的老婆。”她说：“我贪慕虚荣，只要钱！”就这样，简沫成了洛城名门顾家辰少的隐婚老婆。结婚两年，她挂着正妻的头衔当着他的暖床，时不时的还要应付他的绯闻，面对前来叫嚣的小三的同时，还要让他满足。长达两年的习惯，让她在这场游戏里沦陷……一场意外，一次珠胎暗结，他
庆余年,https://www.biquker.com/xiaoshuo/7134.html,猫腻,1508000字,2,《庆余年》是由作者猫腻编写的一部历史小说，目前已完结，主角是范闲，小说的故事主要讲述了积善之家，必有余庆，留余庆，留余庆，忽遇恩人；幸娘亲，幸娘亲，积得阴功。劝人生，济困扶穷……而谁可知，人生于世，上承余庆，终究却是要自己做出道路抉择，正是所谓岔枝发：东风携云雨，幼藤吐新芽。急催如颦鼓，洗尽茸与华。且待朝阳至，绿遍庭中架。更盼黄叶时，采得数枚瓜。
凶神再临洛庭轩方可儿,https://www.biquker.com/xiaoshuo/7133.html,银眸沙皇,138000字,2,《凶神再临洛庭轩方可儿》是由作者银眸沙皇编写的一部都市小说，目前已完结，主角是洛庭轩、方可儿，小说的故事主要讲述了地下凶神，回归华夏，加入了特殊组织。却因过往的经历，被关入了黑狱。走出黑狱的他，究竟会在都市中，掀起怎样的腥风血雨......
纨绔世子妃,https://www.biquker.com/xiaoshuo/7132.html,西子情,1024000字,2,《纨绔世子妃》是由作者西子情编写的一部重生小说，目前已完结，主角是云浅月、容景，小说的故事主要讲述了她是天圣皇朝云王府唯一的嫡女云浅月，亦是人人口中的纨绔少女，嚣张跋扈，恶名昭彰，赏诗会为了心爱的男子与人争风吃醋命丧黄泉。她一朝为国身死，灵魂坠入异世，重生在天圣皇朝云王府唯一的嫡女云浅月之身。纨绔少女对上少年将军，她的到来让表面平静的天圣皇朝幡然巨变。说我嚣张？说我纨绔？说我就是一个顶着云王府嫡女的名头，打着内定太子妃的幌子，占着整个王朝最尊贵女子的身份，其实就是天圣皇朝第一废物？靠！非要逼我告诉你们我这
特种兵王闯都市,https://www.biquker.com/xiaoshuo/7129.html,天空,674000字,2,《特种兵王闯都市》是由作者天空编写的一部都市小说，目前已完结，主角是徐川，小说的故事主要讲述了他是特种兵世界的王者，他是令各国元首头疼的兵王！徐川，一代兵王，这个世界最强悍的单兵力量，携风云之势，一路高歌猛进，在这花花都市轰轰烈烈的开展了一系列热血、刺激、惊险之旅。让校花痴情难忘，让女明星倒追不停，让身家千亿的倾世美女朝思暮想。拳打高富帅，脚踩富二代，只认理，不认人！用鲜血铸就忠诚，用生命捍卫荣耀！铮铮铁骨真男儿，宁战死不跪生。
帝少的神秘丑妻,https://www.biquker.com/xiaoshuo/7128.html,有点甜,2392000字,2,《帝少的神秘丑妻》是由作者有点甜编写的一部言情小说，目前已完结，主角是左月月、霍寒城，小说的故事主要讲述了他是京城第一帝少，权势通天，英俊冷冽，却无女人敢靠近。只因他的三任未婚妻，连接神秘死亡。传闻只要嫁给他，都逃脱不了死亡的噩运！她，是京城第一丑女，阴错阳差嫁给第一帝少。谁都以为，她即将惨死，却没想到，她活得好好的。谁都以为，他会嫌弃她的丑，却没想到，一代护妻狂魔由此出世。“总裁，夫人说你要把她宠上天。”“安排飞船，我要带夫人上天。”“总裁，有人说夫人长得丑。”“我就宠着爱着，怎么着。”“总裁，夫人说不
婚妻已定,https://www.biquker.com/xiaoshuo/7127.html,烟十一,192000字,2,《婚妻已定》是由作者烟十一编写的一部言情小说，目前已完结，主角是聂相思、战廷深，小说的故事主要讲述了潼市人人都说，聂相思是商界传奇战廷深最不可冒犯的禁区，碰之，死。五岁，一场车祸，聂相思失去了双亲。“要不要跟我走？”警察局，男人身形秀颀，背光而立，声线玄寒。聂相思没有犹豫，握住男人微凉的手指。十八岁以前，聂相思是战廷深的宝，在战家横行霸道，耀武扬威。十八岁生日，聂相思鼓起勇气将心仪的男生带到战廷深面前，羞涩的介绍，“三叔，他是陆兆年，我男朋友。”战廷深对聂相思笑，那笑却不达眼底。当晚，战廷深将满眼惶然害怕
重生暖婚：甜妻，新上线,https://www.biquker.com/xiaoshuo/7123.html,青青谁笑,2972000字,2,《重生暖婚：甜妻，新上线》是由作者青青谁笑编写的一部言情小说，目前已完结，主角是季暖、墨景深，小说的故事主要讲述了重生后，她看着这帅的让人合不拢腿的老公，怀疑自己当初脑袋被门夹了，居然一再的要和他离婚！前世她受人蒙蔽被血缘至亲所害，含血惨死。一朝重生，她誓要抱紧总裁老公的大腿，狠虐仇人，手撕白莲花，夺回自己的幸福！
一胎三宝：总裁大人请关门！,https://www.biquker.com/xiaoshuo/7120.html,灼年,426000字,3,《一胎三宝：总裁大人请关门！》是由作者灼年编写的一部言情小说，目前已完结，主角是乔染、​纪寒骁，小说的故事主要讲述了对她冷漠的丈夫在奶奶的命令下，开始留意他那粉粉的妻子了。长辈之命不敢违，“乔染，奶奶让我们早点睡。”男人声音懒散。“纪寒骁，你不是想跟我离婚了吗？”“离婚这东西还是下辈子再尝试吧！”乔染以为这一辈子都没有可能跟纪寒骁和好了，中间的误会也是扑朔迷离，没想到在她最狼狈的时候，他却是最信任、最支持她的那个人！
秦飞扬唐沁雪,https://www.biquker.com/xiaoshuo/7119.html,束山有草,1798000字,2,《最强龙婿》是由作者束山有草编写的一部都市小说，目前已完结，主角是秦飞扬、唐沁雪，小说的故事主要讲述了本想回来退个婚走人，不曾想却事与愿违。“我没钱啊...”“没事，我们家有！”“我没工作哎...”“没事，我给你安排！”“我什么都不会啊...”“你什么都别干，我女儿干，我们家养你。”秦飞扬一脸懵逼地看着未来的老丈人......咦？老丈人您等等，我衣服还穿着呢，先把你女儿拖下去——
她比草莓还可爱,https://www.biquker.com/xiaoshuo/7118.html,顾以钦,130000字,2,《她比草莓还可爱》是由作者顾以钦编写的一部言情小说，目前已完结，主角是苏轻轻、沈望，小说的故事主要讲述了沈望是丞安一中公认的大神，次次霸占年级第一。众所周知，大神一不喜欢吃甜食，二不喜欢搭理告白的女生。直到有一天——苏轻轻正在吃草莓牛奶味饼干。众人目瞪口呆地看着沈望勾了勾手指：“拿来我尝尝。”“好吃吗好吃吗？”苏轻轻仰着小脑袋，鹿眼眨了眨，嗓音甜软。沈望舔舔嘴角：“还行吧，没你甜。”后来——苏轻轻：“我好像有点喜欢大神，会不会被他讨厌啊……”沈望把她堵在墙角：“只有一点点？”“啊？”“可是我特别喜欢你。”
邪皇抢婚：第一杀手狂妃,https://www.biquker.com/xiaoshuo/7117.html,北夜,5084000字,2,《邪皇抢婚：第一杀手狂妃》是由作者北夜编写的一部穿越言情小说，目前已完结，主角是凤凌月、南宫弑，小说的故事主要讲述了她是21世纪杀手之王，被渣男背叛自爆而亡，一朝穿越竟然成了凤家废材傻子大小姐，被卖青楼，拍卖初夜。是可忍孰不可忍，当星眸乍起，锋芒乍现，整个天下我为尊！说姐是废柴，姐让你见识下啥叫金木水火土五行俱全！说姐是傻子，姐一巴掌扇你到墙上，抠都抠不下来！说姐太嚣张，不好意思，姐就是开挂来虐人的！说姐没男人要，姐调教的九天十地唯我独尊的尊王大人怕老婆！
武神劫,https://www.biquker.com/xiaoshuo/7115.html,难忘今宵,338000字,6,《武神劫》是由作者难忘今宵编写的一部玄幻小说，目前已完结，主角是秦战，小说的故事主要讲述了落魄天才绝地反击，走上一条不一样的武道之路。脚踏如山尸骨，手掌天地沉浮。红颜挚爱，落难兄弟，在强者如林的修神世界中，他该如何去抉择？当他一步步踏上巅峰之时，却发现一个埋葬了千古的阴谋围绕着他而展开.....
替嫁王妃,https://www.biquker.com/xiaoshuo/7114.html,丫左左,198000字,5,《替嫁王妃》是由作者丫左左编写的一部穿越言情小说，目前已完结，主角是南宫亦儿、傲天祁、雪倾城，小说的故事主要讲述了莫名穿越到架空王朝—傲宇国，成为了举国皆知的第一丑女。在所有人鄙视她的容貌时，才华却成为了她绝对的武器。在古代把事业混得风生水起，是当之无愧的傲宇国第一富商！    突然一道圣旨从天而降！犹如晴天霹雳！她被迫嫁给二王爷，成为了他的替身王妃！新婚之夜，夫君甩袖摔门离去！一夜之间二王妃不受宠的消息人尽皆知。她只想安逸一生，长乐无忧。却不成想，从她代嫁进这贤亲王府起，她的命运便已开始改写。未知的阴谋
最强龙婿,https://www.biquker.com/xiaoshuo/7113.html,束山有草,1798000字,2,《最强龙婿》是由作者束山有草编写的一部都市小说，目前已完结，主角是秦飞扬、唐沁雪，小说的故事主要讲述了本想回来退个婚走人，不曾想却事与愿违。“我没钱啊...”“没事，我们家有！”“我没工作哎...”“没事，我给你安排！”“我什么都不会啊...”“你什么都别干，我女儿干，我们家养你。”秦飞扬一脸懵逼地看着未来的老丈人......咦？老丈人您等等，我衣服还穿着呢，先把你女儿拖下去——
剑临天下,https://www.biquker.com/xiaoshuo/7112.html,天蓝色月,2578000字,3,《剑临天下》是由作者天蓝色月编写的一部玄幻小说，目前已完结，主角是叶风，小说的故事主要讲述了一剑山河动，一剑鬼神惊，俯身揽日月，挥手舞乾坤，一人一剑，傲世寰宇！具体境界划分;出尘，通窍，凝元，秘藏，涅盘，羽化，一线天，问鼎，飞升。
风月不知我心意,https://www.biquker.com/xiaoshuo/7104.html,雪天吃雪糕,1056000字,2,《风月不知我心意》是由作者雪天吃雪糕编写的一部言情小说，目前已完结，主角是夏心意、陆瑾琛，小说的故事主要讲述了她与陆瑾琛是结发两年的夫妻，有名无实。就在她得知自己身患肾癌的时候，却不料陆瑾琛带回了曾经的挚爱...“陆瑾琛，我只想再和你做一个月的夫妻，之后，咱们离婚！”“夏心意你记住，你是我的妻子，从前是，以后也是。”
修罗战神,https://www.biquker.com/xiaoshuo/7093.html,善良的蜜蜂,1948000字,2,《修罗战神》是由作者善良的蜜蜂编写的一部玄幻小说，目前已完结，主角是刑决、李小涵，小说的故事主要讲述了他是被家族遗弃的废柴，却因高人相助获得重生他是绝世天才的遗子，却因父亲一念，将其天赋印封当自信重生之时，天赋解封之日，他便是这片大6最耀眼的新星。且看刑决如何跨越道道难关，逆天而上，最终达到那传说中的战神之境。
错娶毒妃，王爷认栽吧,https://www.biquker.com/xiaoshuo/7091.html,折音,462000字,3,《错娶毒妃，王爷认栽吧》是由作者折音编写的一部穿越言情小说，目前已完结，主角是容天音、秦执，小说的故事主要讲述了她是21世纪的鬼才毒剂师，意外穿越成异世侯府胸大无脑的嫡小姐，却受侯爷宠爱，千方百计让她嫁入太子府的故事。
先婚后爱：老公很凶猛,https://www.biquker.com/xiaoshuo/7090.html,冬眠,822000字,3,《先婚后爱：老公很凶猛》是由作者冬眠编写的一部言情小说，目前已完结，主角是​苏沫、龙泽焕，小说的故事主要讲述了结婚三年，不知老公是谁。一次阴差阳错的相亲，认识了富可敌国的总裁龙泽焕！“你叫我什么？”男人低沉的嗓音，俯身低问。“唔……”她承受不住的盘着他，低低唤了一声，“老……老公？”“错！”男人加大力度，俊颜邪魅。苏沫受不了的连声求饶，“龙哥哥，哥哥，我错了～”第二天醒来，她怒，嫁给一个喜欢角色扮演的男人是什么感觉？
崩原乱,https://www.biquker.com/xiaoshuo/7089.html,四下里,680000字,2,《崩原乱》是由作者四下里编写的一部奇幻小说，目前已完结，主角是师映川，小说的故事主要讲述了再世为人，人生就此彻底改变，天下之大，爱恨情仇谁能说的明白？“你我之间，又岂是‘情爱’两字这般简单。”
